JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 28834.000,   360.615,   344.028,     1.378,     0.000,     0.000,     0.000,     0.250,    37.508,   683.800,     1.000,     0.000,     2.360,  -133.010,     0.000,   232.694,   311.546,    29.408,    24.751,     0.000,         0.000,
 28835.000,  1327.907,   343.958,     2.186,     0.000,     0.000,     0.000,     0.250,    37.438,   683.800,     1.000,     0.000,     2.451,  -162.361,     0.000,   208.719,   313.229,    27.716,    30.135,     0.000,         0.000,
 28836.000,  1172.733,   343.874,     1.795,     0.000,     0.000,     0.000,     0.250,    37.354,   683.800,     1.000,     0.000,     2.129,  -113.682,     0.000,   244.118,   312.792,    25.922,    19.086,     0.000,         0.000,
 28837.000,  1196.626,   343.780,     2.053,     0.000,     0.000,     0.000,     0.250,    37.260,   683.800,     1.000,     0.000,     2.488,  -128.609,     0.000,   245.750,   314.242,    31.814,    28.304,     0.000,         0.000,
 28838.000,   928.207,   343.672,     1.580,     0.000,     0.000,     0.000,     0.250,    37.152,   683.800,     1.000,     0.000,     1.764,   -76.203,     0.000,   260.035,   313.330,    12.971,     9.937,     0.000,         0.000,
 28839.000,  1479.941,   343.567,     1.341,     0.000,     0.000,     0.000,     0.250,    37.047,   683.800,     1.000,     0.000,     1.809,    -8.605,     0.000,   283.422,   312.674,    -4.873,   -15.774,     0.000,         0.000,
 28840.000,     5.560,   343.469,     1.178,     0.000,     0.000,     0.000,     0.250,    36.949,   669.700,     1.000,     0.000,     1.716,   -45.890,     0.000,   270.032,   311.204,     9.887,    -5.170,     0.000,         0.000,
 28841.000,   978.415,   343.380,     0.636,     0.000,     0.000,     0.000,     0.250,    36.860,   669.700,     1.000,     0.000,     1.141,   -50.918,     0.000,   258.100,   308.562,     4.351,    -3.895,     0.000,         0.000,
 28842.000,   392.184,   343.283,     0.557,     0.000,     0.000,     0.000,     0.250,    36.763,   669.700,     1.000,     0.000,     1.453,  -147.205,     0.000,   243.476,   308.343,    47.955,    34.383,     0.000,         0.000,
 28843.000,   708.272,   343.162,     0.499,     0.000,     0.000,     0.000,     0.250,    36.642,   669.700,     1.000,     0.012,     1.654,  -142.062,     0.000,   210.869,   303.183,    23.902,    25.847,     0.000,         0.000,
 28844.000,   703.893,   343.029,     0.920,     0.000,     0.000,     0.000,     0.250,    36.509,   669.700,     1.000,     0.035,     1.773,   -80.985,     0.000,   228.421,   300.900,    13.665,    -5.159,     0.000,         0.000,
 28845.000,     5.054,   343.034,     0.975,     0.000,     0.000,     0.000,     0.250,    36.514,   669.700,     1.000,     0.029,     1.384,   108.954,     0.000,   302.105,   313.463,   -53.641,   -66.671,     0.000,         0.000,
